Gene	JK_A2_2_ERCC_S27	JK_S1_3_ERCC_S23	JK_A2_3_ERCC_S28	JK_S2_3_ERCC_S25	JK_A2_4_ERCC_S29	JK_A2_1_ERCC_S26	JK_S1_2_ERCC_S22	JK_A2_5_ERCC_S30	JK_A2_6_ERCC_S31	JK_S2_2_ERCC_S24
AP000553.5	1.534377153	3.358795155	0.785806455	1.679956241	1.027059403	0.732427556	2.048902877	1.523777767	1.456141229	1.932490231
TTF2	14.45070363	9.168711273	13.89646143	12.42370206	14.17153952	14.38759617	8.633055204	13.90212335	13.88421174	12.47453722
TEX261	27.5408928	16.61919354	28.2058739	21.00297345	28.78411027	27.94615303	16.23218831	29.10959413	27.43497828	22.09095658
SAMD1	63.2219254	59.88302736	62.62120625	57.49217291	66.966518	57.76785547	51.55633038	72.10587461	67.45991987	58.1593879
DOLPP1	15.32679364	12.67922773	15.6646115	12.83614641	15.25502837	14.27183551	11.9060811	16.65990164	16.46007991	13.02796806
CSRNP1	6.206814084	10.79905607	6.474670168	8.731675963	6.769983457	6.214754301	10.65074629	7.269203499	7.207415849	9.009450023
SLC31A2	6.580533808	6.771896545	6.196779898	6.56764452	7.087555002	6.794332838	6.551197184	6.895636072	6.967289079	5.981333334
ZNF524	3.079793563	4.405633926	3.216474208	3.033480306	2.718186071	2.445843005	3.247413494	2.953985792	3.417116605	3.579080662
DEGS1	24.57887625	22.83484525	23.70592838	32.07594282	24.39674479	25.30710222	26.99433574	24.06678072	23.70146937	32.41416908
RNU6-1209P	2.202432871	0.528034886	1.90245946	1.378719037	2.170070932	1.504556794	0.360760095	1.559876828	1.602435791	1.159986702
MT2A	29.97731461	42.70328641	28.01478332	15.4458728	26.74257955	23.22744347	40.52498454	30.55337479	30.4650116	15.48618644
OSR2	2.017411934	3.242223613	1.932396391	1.9492255	2.166158136	1.94716865	2.777988486	1.821372642	2.061040286	1.770898482
TRPV1	1.191913974	1.191007681	1.157586567	1.051467948	1.333058859	1.054652342	1.239941292	1.340333724	1.316512302	1.110387383
NAP1L3	3.356832503	3.35393846	3.108741109	3.275587365	3.323578185	3.290421811	3.278708681	3.528419007	3.444890802	3.639062346
TINF2	28.42127195	25.74151802	28.85120296	24.78716909	29.65838679	28.63109318	25.247549	30.37119036	31.29209216	26.1252048
ZNF83	12.17383778	18.39548369	12.1233024	17.20627928	12.89405796	12.9643305	20.55203646	11.11459647	12.14609293	16.46718027
ZNF3	22.43737735	17.06542462	22.17705104	18.07979455	23.78470848	23.10417736	15.53834139	22.44807828	22.05724132	17.63081813
LRRC37A2	3.990719782	5.409283819	3.744238154	3.841903329	4.28706081	4.081180918	4.902620877	4.174878665	4.388929702	4.057736748
TEX264	11.06970993	10.80986125	11.63365799	9.58573775	11.96768121	10.99381762	10.2851906	12.53602917	12.45077188	8.974453039
AC011491.3	1.236619434	0.353755035	1.224888112	0.311887816	1.073065785	0.946259716	0.276217032	1.492905372	1.669960416	0.666110432
TOP3B	9.506419071	13.81617295	8.939478068	10.22509558	9.607502964	8.579448438	12.13767505	9.337640765	9.58737073	9.719590712
RANBP6	17.39104833	21.37470869	17.46781127	20.23629853	17.14560464	19.25851386	27.38176967	15.37719795	16.24320265	19.55317294
NUP54	28.83669154	29.40548565	30.41228212	32.48736654	29.19247155	29.6860151	32.6798278	28.78010894	28.83513578	31.47575002
TAGLN2P1	2.060856834	2.165662671	2.616655174	2.079074999	2.834893913	3.408595569	2.630414324	3.753270922	2.596413094	2.114456169
SLC25A32	1.353151596	1.045567521	1.542678598	1.298903253	1.479178697	1.32054839	0.627555351	1.414464581	1.443171448	1.173495137
BIK	8.458330345	6.772838631	9.788000247	8.574127301	9.278137131	8.802685593	6.819162434	10.44264545	9.45547578	9.483999231
ACY3	1.604300725	1.504186905	1.903216356	1.222754932	1.820659438	1.744577264	1.801958522	1.740895357	1.681395266	1.388148443
ARHGAP23	6.224738767	6.232080152	6.277112628	5.429359564	6.164045305	5.664932498	5.211277535	6.319361603	6.149493062	5.31246828
ZNF416	6.969495692	6.193880334	7.744053143	5.659569007	7.230514338	7.807648973	5.70298631	7.089440983	7.059042732	5.949888568
ZNF462	9.681550004	6.779148703	9.745701548	8.657306325	10.81306804	9.521643194	6.253825948	10.87919469	10.89480785	8.550524177
